source,target,dijkstra_distance,astar_distance,bford_distance,dijkstra_path,astar_path,bford_path
0,0,0.0,0.0,,[0],[0],
0,1,335.0,335.0,,"[0, 9, 1]","[0, 9, 1]",
0,2,936.0,936.0,,"[0, 2]","[0, 2]",
0,3,379.0,379.0,,"[0, 3]","[0, 3]",
0,4,729.0,729.0,,"[0, 4]","[0, 4]",
0,5,713.0,713.0,,"[0, 5]","[0, 5]",
0,6,444.0,444.0,,"[0, 6]","[0, 6]",
0,7,421.0,421.0,,"[0, 7]","[0, 7]",
0,8,498.0,498.0,,"[0, 10, 8]","[0, 10, 8]",
0,9,214.0,214.0,,"[0, 9]","[0, 9]",
0,10,106.0,106.0,,"[0, 10]","[0, 10]",
0,11,496.0,496.0,,"[0, 11]","[0, 11]",
0,12,313.0,313.0,,"[0, 10, 12]","[0, 10, 12]",
0,13,557.0,557.0,,"[0, 10, 13]","[0, 10, 13]",
0,14,683.0,683.0,,"[0, 19, 14]","[0, 19, 14]",
0,15,608.0,608.0,,"[0, 15]","[0, 15]",
0,16,499.0,499.0,,"[0, 16]","[0, 16]",
0,17,449.0,449.0,,"[0, 10, 17]","[0, 10, 17]",
0,18,659.0,659.0,,"[0, 18]","[0, 18]",
0,19,605.0,605.0,,"[0, 19]","[0, 19]",
1,0,339.0,339.0,,"[1, 0]","[1, 0]",
1,1,0.0,0.0,,[1],[1],
1,2,870.0,870.0,,"[1, 2]","[1, 2]",
1,3,208.0,208.0,,"[1, 3]","[1, 3]",
1,4,835.0,835.0,,"[1, 4]","[1, 4]",
1,5,594.0,594.0,,"[1, 5]","[1, 5]",
1,6,305.0,305.0,,"[1, 6]","[1, 6]",
1,7,658.0,658.0,,"[1, 7]","[1, 7]",
1,8,706.0,706.0,,"[1, 8]","[1, 8]",
1,9,116.0,116.0,,"[1, 9]","[1, 9]",
1,10,379.0,379.0,,"[1, 10]","[1, 10]",
1,11,266.0,266.0,,"[1, 11]","[1, 11]",
1,12,586.0,586.0,,"[1, 10, 12]","[1, 10, 12]",
1,13,785.0,785.0,,"[1, 13]","[1, 13]",
1,14,710.0,710.0,,"[1, 14]","[1, 14]",
1,15,321.0,321.0,,"[1, 15]","[1, 15]",
1,16,654.0,654.0,,"[1, 16]","[1, 16]",
1,17,706.0,706.0,,"[1, 17]","[1, 17]",
1,18,817.0,817.0,,"[1, 18]","[1, 18]",
1,19,711.0,711.0,,"[1, 19]","[1, 19]",
2,0,933.0,933.0,,"[2, 0]","[2, 0]",
2,1,854.0,854.0,,"[2, 1]","[2, 1]",
2,2,0.0,0.0,,[2],[2],
2,3,710.0,710.0,,"[2, 3]","[2, 3]",
2,4,529.0,529.0,,"[2, 4]","[2, 4]",
2,5,290.0,290.0,,"[2, 5]","[2, 5]",
2,6,615.0,615.0,,"[2, 5, 6]","[2, 5, 6]",
2,7,872.0,872.0,,"[2, 7]","[2, 7]",
2,8,1038.0,1038.0,,"[2, 8]","[2, 8]",
2,9,836.0,836.0,,"[2, 5, 9]","[2, 5, 9]",
2,10,924.0,924.0,,"[2, 10]","[2, 10]",
2,11,950.0,950.0,,"[2, 11]","[2, 11]",
2,12,1083.0,1083.0,,"[2, 12]","[2, 12]",
2,13,1042.0,1042.0,,"[2, 13]","[2, 13]",
2,14,329.0,329.0,,"[2, 14]","[2, 14]",
2,15,714.0,714.0,,"[2, 15]","[2, 15]",
2,16,684.0,684.0,,"[2, 16]","[2, 16]",
2,17,880.0,880.0,,"[2, 17]","[2, 17]",
2,18,513.0,513.0,,"[2, 18]","[2, 18]",
2,19,430.0,430.0,,"[2, 19]","[2, 19]",
3,0,438.0,438.0,,"[3, 0]","[3, 0]",
3,1,202.0,202.0,,"[3, 1]","[3, 1]",
3,2,720.0,720.0,,"[3, 2]","[3, 2]",
3,3,0.0,0.0,,[3],[3],
3,4,794.0,794.0,,"[3, 4]","[3, 4]",
3,5,487.0,487.0,,"[3, 5]","[3, 5]",
