source,target,dijkstra_distance,astar_distance,bford_distance,dijkstra_path,astar_path,bford_path
0,0,0.0,0.0,,[0],[0],
0,1,243.0,243.0,,"[0, 1]","[0, 1]",
0,2,924.0,924.0,,"[0, 5, 2]","[0, 5, 2]",
0,3,349.0,349.0,,"[0, 1, 3]","[0, 1, 3]",
0,4,648.0,648.0,,"[0, 7, 4]","[0, 7, 4]",
0,5,572.0,572.0,,"[0, 5]","[0, 5]",
0,6,399.0,399.0,,"[0, 6]","[0, 6]",
0,7,301.0,301.0,,"[0, 7]","[0, 7]",
0,8,365.0,365.0,,"[0, 8]","[0, 8]",
0,9,237.0,237.0,,"[0, 9]","[0, 9]",
1,0,298.0,298.0,,"[1, 9, 0]","[1, 9, 0]",
1,1,0.0,0.0,,[1],[1],
1,2,737.0,737.0,,"[1, 6, 5, 2]","[1, 6, 5, 2]",
1,3,106.0,106.0,,"[1, 3]","[1, 3]",
1,4,716.0,765.0,,"[1, 6, 4]","[1, 4]",
1,5,385.0,385.0,,"[1, 6, 5]","[1, 6, 5]",
1,6,175.0,175.0,,"[1, 6]","[1, 6]",
1,7,599.0,622.0,,"[1, 9, 0, 7]","[1, 7]",
1,8,648.0,648.0,,"[1, 8]","[1, 8]",
1,9,107.0,107.0,,"[1, 9]","[1, 9]",
2,0,854.0,854.0,,"[2, 0]","[2, 0]",
2,1,637.0,689.0,,"[2, 6, 3, 1]","[2, 3, 1]",
2,2,0.0,0.0,,[2],[2],
2,3,604.0,656.0,,"[2, 6, 3]","[2, 3]",
2,4,593.0,593.0,,"[2, 4]","[2, 4]",
2,5,342.0,342.0,,"[2, 5]","[2, 5]",
2,6,548.0,548.0,,"[2, 6]","[2, 6]",
2,7,784.0,784.0,,"[2, 7]","[2, 7]",
2,8,905.0,905.0,,"[2, 7, 8]","[2, 7, 8]",
2,9,695.0,738.0,,"[2, 6, 3, 9]","[2, 9]",
3,0,282.0,287.0,,"[3, 9, 0]","[3, 0]",
3,1,33.0,33.0,,"[3, 1]","[3, 1]",
3,2,677.0,677.0,,"[3, 6, 5, 2]","[3, 6, 5, 2]",
3,3,0.0,0.0,,[3],[3],
3,4,656.0,656.0,,"[3, 6, 4]","[3, 6, 4]",
3,5,325.0,325.0,,"[3, 6, 5]","[3, 6, 5]",
3,6,115.0,115.0,,"[3, 6]","[3, 6]",
3,7,583.0,657.0,,"[3, 9, 0, 7]","[3, 7]",
3,8,647.0,679.0,,"[3, 9, 0, 8]","[3, 8]",
3,9,91.0,91.0,,"[3, 9]","[3, 9]",
4,0,670.0,680.0,,"[4, 7, 0]","[4, 0]",
4,1,723.0,765.0,,"[4, 9, 1]","[4, 1]",
4,2,539.0,539.0,,"[4, 2]","[4, 2]",
4,3,704.0,770.0,,"[4, 6, 3]","[4, 3]",
4,4,0.0,0.0,,[4],[4],
4,5,545.0,545.0,,"[4, 5]","[4, 5]",
4,6,648.0,648.0,,"[4, 6]","[4, 6]",
4,7,347.0,347.0,,"[4, 7]","[4, 7]",
4,8,468.0,482.0,,"[4, 7, 8]","[4, 8]",
4,9,710.0,710.0,,"[4, 9]","[4, 9]",
5,0,576.0,576.0,,"[5, 0]","[5, 0]",
5,1,340.0,395.0,,"[5, 6, 3, 1]","[5, 3, 1]",
5,2,352.0,352.0,,"[5, 2]","[5, 2]",
5,3,307.0,362.0,,"[5, 6, 3]","[5, 3]",
5,4,446.0,446.0,,"[5, 4]","[5, 4]",
5,5,0.0,0.0,,[5],[5],
5,6,251.0,251.0,,"[5, 6]","[5, 6]",
5,7,736.0,736.0,,"[5, 7]","[5, 7]",
5,8,857.0,894.0,,"[5, 7, 8]","[5, 8]",
5,9,398.0,398.0,,"[5, 6, 3, 9]","[5, 6, 3, 9]",
6,0,338.0,343.0,,"[6, 3, 9, 0]","[6, 3, 0]",
6,1,89.0,89.0,,"[6, 3, 1]","[6, 3, 1]",
6,2,562.0,562.0,,"[6, 5, 2]","[6, 5, 2]",
6,3,56.0,56.0,,"[6, 3]","[6, 3]",
6,4,541.0,541.0,,"[6, 4]","[6, 4]",
6,5,210.0,210.0,,"[6, 5]","[6, 5]",
6,6,0.0,0.0,,[6],[6],
6,7,621.0,621.0,,"[6, 7]","[6, 7]",
6,8,696.0,696.0,,"[6, 8]","[6, 8]",
6,9,147.0,147.0,,"[6, 3, 9]","[6, 3, 9]",
7,0,323.0,323.0,,"[7, 0]","[7, 0]",
7,1,566.0,566.0,,"[7, 0, 1]","[7, 0, 1]",
7,2,815.0,815.0,,"[7, 2]","[7, 2]",
7,3,619.0,619.0,,"[7, 3]","[7, 3]",
7,4,347.0,347.0,,"[7, 4]","[7, 4]",
7,5,729.0,729.0,,"[7, 5]","[7, 5]",
7,6,601.0,601.0,,"[7, 6]","[7, 6]",
7,7,0.0,0.0,,[7],[7],
7,8,121.0,121.0,,"[7, 8]","[7, 8]",
7,9,560.0,560.0,,"[7, 0, 9]","[7, 0, 9]",
8,0,475.0,516.0,,"[8, 7, 0]","[8, 0]",
8,1,718.0,743.0,,"[8, 7, 0, 1]","[8, 1]",
8,2,967.0,975.0,,"[8, 7, 2]","[8, 2]",
8,3,771.0,771.0,,"[8, 7, 3]","[8, 7, 3]",
